"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\App.tsx", "TypeScript JSX", 4, 0, 0, 4
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\Components\Nav.tsx", "TypeScript JSX", 10, 0, 0, 10
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\Components\Projects\AddProjectDialog.tsx", "TypeScript JSX", 146, 0, 14, 160
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\Components\Projects\EditProjectDialog.tsx", "TypeScript JSX", 163, 0, 17, 180
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\Components\ValidEmailTextField.tsx", "TypeScript JSX", 35, 0, 6, 41
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\Pages\Positions.tsx", "TypeScript JSX", 5, 0, 3, 8
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\Pages\Projects.tsx", "TypeScript JSX", 118, 0, 4, 122
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\Styles\Theme.tsx", "TypeScript JSX", -1, 0, 0, -1
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\Types\types.tsx", "TypeScript JSX", 15, 0, 2, 17
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\img\Projects\projectImages.tsx", "TypeScript JSX", 13, 11, 2, 26
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\index.tsx", "TypeScript JSX", -4, 0, 0, -4
"Total", "-", 504, 11, 48, 563